Bà La Môn
vải giả da
vận trù học
vận động viên
vật linh giáo
vật lí học
vật lý học
vật tự nó
vẹc bông lau
vết xe đổ
vệ quốc quân
vị thành niên
vốn cố định
vốn lưu động
vốn pháp định
vốn tự có
vốn điều lệ
vỡ kế hoạch
vợ chưa cưới
world wide web
xa bô chê
xa lăng lắc
xa vời vợi
xa xỉ phẩm
xanh hoà bình
xe bọc thép
xe cút kít
xe cơ giới
xe cải tiến
xe du lịch
xe gắn máy
xe lăn đường
xe lội nước
xe song mã
xe thổ mộ
xem tử vi
xin âm dương
xoài thanh ca
xuyên tâm liên
xuất bản phẩm
xuất nhập cảnh
xuất nhập khẩu
xuất phát điểm
xuồng ba lá
xã hội hoá
xã hội học
xã hội đen
xì căng đan
xương quai xanh
xước măng rô
xắn móng lợn
xếp bằng tròn
xốp xồm xộp
y như rằng
ác cái là
áo ba lỗ
áo cà sa
áo cánh tiên
áo lọt lòng
áo năm thân
áo trấn thủ
áo tứ thân
áo vệ sinh
áo đại cán
át chủ bài
âm cơ bản
âm dương lịch
âm vị học
óc bã đậu
óc bè phái
ô tô buýt
ô tô con
ông ba mươi
úm ba la
ý chí luận
ăn báo cô
ăn báo hại
ăn hối lộ
ăn phải bả
ăn phải đũa
ăn trả bữa
đa chương trình
đa dạng hoá
đa nguyên luận
đa phương hoá
đa phương tiện
đa thần giáo
đa thần luận
đa tư lự
đa xử lí
đa xử lý
đay ấn Độ
đen lay láy
đen nghìn nghịt
đen nhay nháy
đen nhưng nhức
đen trùi trũi
đi bước nữa
đi chăng nữa
đi đại tiện
đi đằng đầu
điêu khắc gia
điều khiển học
điều kiện cần
điều kiện đủ
điều phối viên
điều tra viên
điển hình hoá
điện báo viên
điện hoá học
điện khí hoá
điện khí quyển
điện não đồ
điện sinh học
điện thoại Internet
điện thoại viên
điện trở suất
điện tâm đồ
điện từ học
điện từ trường
điện tử học
đoàn chủ tịch
đoàn ngoại giao
đoạn toa xe
đu đủ tía
đài hoá thân
đài khí tượng
đài phát thanh
đài thiên văn
đài truyền hình
đàn thập lục
đàn tơ rưng
đào lộn hột
đá hoa cương
đá nam châm
đá tai mèo
đá trầm tích
đá ốp lát
đái tháo đường
đánh bò cạp
đánh chim sẻ
đánh chính diện
đánh công kiên
đánh du kích
đánh hào ngầm
đánh thọc sâu
đánh tiêu diệt
đánh tiêu hao
đánh trận địa
đánh trống lảng
đánh trống lấp
đánh trống ngực
đánh tung thâm
đánh vận động
đánh vỗ mặt
đánh đàng xa
đánh đồng thiếp
đâu ra đấy
đâu vào đấy
đèn ba cực
đèn bán dẫn
đèn cao áp
đèn cảm ứng
đèn hoa kì
đèn hoa kỳ
đèn huỳnh quang
đèn khí đá
đèn kéo quân
đèn măng sông
đèn điện tử
đêm trừ tịch
đô thị hoá
đông bán cầu
đông nghìn nghịt
đùa với lửa
đùng một cái
đĩa quang học
đơn bản vị
đơn giản hoá
đơn tử diệp
đường cao tốc
đường chim bay
đường dây nóng
đường gấp khúc
đường hàng hải
đường hàng không
đường lánh nạn
đường phân giác
đường quốc lộ
đường tiệm cận
đường trung bình
đường trung trực
đường trắc địa
đường tỉnh lộ
đường vành đai
đường xoáy ốc
đường xoắn ốc
đường xương cá
đường đoản trình
đường đồng mức
đại bản doanh
đại bộ phận
đại cao thủ
đại cà sa
đại công nghiệp
đại cử tri
đại gia súc
đại gia đình
đại gian ác
đại hồng thuỷ
đại hội đồng
đại lễ đường
đại nguyên soái
đại qui mô
đại quy mô
đại số học
đại sứ quán
đại tuần hoàn
đại tư bản
đại đa số
đại đoàn kết
đạn bọc đường
đạo Cao Đài
đạo Thiên Chúa
đạo Tin Lành
đạo đức học
đảng uỷ viên
đất cát pha
đất dụng võ
đất thịt pha
đấu giao hữu
đấu vòng tròn
đầu mục từ
đậu Hà Lan
đậu cô ve
đậu dải áo
đậu phụ nhự
đặc phái viên
địa chấn học
địa chấn kí
địa chấn ký
địa chất học
địa cốt bì
địa hoá học
địa lí học
địa lý học
địa mạo học
địa tầng học
địa vật lí
địa vật lý
định lí đảo
định mệnh luận
đỏ chon chót
đỏ con mắt
đỏ hoen hoét
đỏ hon hỏn
đỏ quành quạch
đỏ đòng đọc
đồng hồ tổng
đồng mắt cua
đồng tác giả
đồng vị ngữ
đổ bê tông
đổ hào quang
đổ đom đóm
độ chính xác
độ phân giải
độc thần luận
đội quân nhạc
động cơ diesel
động cơ nhiệt
động cơ điện
động lực học
động mạch vành
động vật học
độp một cái
đột phá khẩu
đới địa chất
đới địa lí
đới địa lý
đức ông chồng
đừng có trách
ưu khuyết điểm
ước số chung
ướt rườn rượt
ướt sườn sượt
ảo thuật gia
Ấn Độ giáo
ấp chiến lược
ấp dân sinh
ốc bươu vàng
ốc xà cừ
ống tay áo
ổ đĩa cứng
ổ đề kháng
ớt chỉ thiên
ớt cà chua
ứng cử viên
