Bà La Môn
lò luyện kim
lò sát sinh
lò vi sóng
lúm đồng tiền
lý liệu pháp
lý sự cùn
lý tưởng hoá
lơ tơ mơ
lưng lửng dạ
lưu học sinh
lương sản phẩm
lười chảy thây
lưỡi dao cạo
lưỡi không xương
lượng giác học
lạc quan tếu
lạnh như tiền
lạy cả nón
lập trình viên
lỗ chân lông
lỗ châu mai
lộn mề gà
lộn tùng phèo
lời nói đầu
lời toà soạn
lời đường mật
lử cò bợ
ma cà bông
ma cà rồng
ma nơ canh
ma ăn cỗ
mau nước mắt
may công nghiệp
muối bỏ biển
màn hiện sóng
màng tế bào
má bánh đúc
mát rười rượi
máy bộ đàm
máy chiếu hình
máy chiếu phim
máy công cụ
máy ghi âm
máy gia tốc
máy hút bụi
máy hơi nước
máy liên hợp
máy nhắn tin
máy phát điện
máy quay đĩa
máy rửa bát
máy thu hình
máy vi tính
máy điều hoà
máy điện tim
mã tiên thảo
mèo nhị thể
mèo tam thể
mì ăn liền
mìn định hướng
mít tố nữ
mô hình hoá
mùi mẽ gì
múa rối nước
múa sư tử
mĩ nhân kế
mũ bảo hiểm
mũ bịt tai
mũ chào mào
mũ lưỡi trai
mũ tai bèo
mưa bóng mây
mướt mồ hôi
mạch tích hợp
mạng cục bộ
mạng diện rộng
mạng toàn cục
mất công toi
mẫu số chung
mận tam hoa
mập ú ù
mắt bồ câu
mặt chữ điền
mặt trái xoan
mặt tròn xoay
mặt đối mặt
mẹ đỡ đầu
mỏng dinh dính
mốc hoa cau
mồ hôi muối
mộng âm dương
một lá mầm
mỡ cơm xôi
mục sở thị
mục đích luận
mỹ nhân kế
nam bán cầu
nam cực quyền
nam sài hồ
ngang cành bứa
ngay cán tàn
ngay lập tức
ngay tắp lự
ngay tức khắc
nghiên cứu sinh
nghiên cứu viên
nghèo xác xơ
nghề tự do
nghị định thư
ngoại giao đoàn
ngoại tệ mạnh
nguyên tử số
nguyên vật liệu
nguyên động lực
ngói âm dương
ngón áp út
ngôn ngữ học
ngôn ngữ máy
ngũ gia bì
người bị hại
người phát ngôn
người quản lí
người quản lý
ngẩn tò te
ngậm bồ hòn
ngậm hột thị
ngắn tun hủn
ngặt một nỗi
ngọc lan tây
ngồi bó giò
ngồi bó gối
ngồi chồm hổm
ngồi chồm hỗm
ngồi dãi thẻ
ngồi xếp bằng
ngữ nghĩa học
ngữ pháp học
ngữ âm học
ngựa bất kham
ngựa phản chủ
nhanh nhảu đoảng
nhanh nhẩu đoảng
nhiễm sắc thể
nhiệt hoá học
nhiệt lượng kế
nhiệt độ Celsius
nhiệt độ Fahrenheit
nhiệt động học
nhiệt đới hoá
nhu yếu phẩm
nhà chọc trời
nhà chức trách
nhà doanh nghiệp
nhà hộ sinh
nhà kinh doanh
nhà thi đấu
nhà tu kín
nhà tình nghĩa
nhà tư tưởng
nhà tạo mẫu
nhà tập thể
nhà văn hoá
nhà vệ sinh
nhà xuất bản
nhà điều dưỡng
nhà ổ chuột
nhân chủng học
nhân cách hoá
nhân dân tệ
nhân khẩu học
nhân loại học
nhân sinh quan
nhân trắc học
nhạc thính phòng
nhạc tài tử
nhạc điện tử
nhạc đồng quê
nhảy chân sáo
nhảy cà tưng
nhảy cà tửng
nhất nguyên luận
nhất thần giáo
nhất thần luận
nhất thể hoá
nhận thức luận
nhẵn thin thín
nhị nguyên luận
nhọ mặt người
nuôi báo cô
nín thin thít
nói bóng gió
nói gì đến
nói thánh tướng
nói trắng ra
nói trống không
nói trộm vía
nói tóm lại
nói vuốt đuôi
nói đúng ra
nón ba tầm
nón bài thơ
nón quai thao
nón tu lờ
nóng hôi hổi
nông choèn choẹt
nông trang viên
năm dương lịch
năm ánh sáng
năm âm lịch
nước chè hai
nước gội đầu
nước mắm nhỉ
nước rửa bát
nẫng tay trên
nắm đằng chuôi
nắng xiên khoai
nặng trình trịch
nến đánh lửa
nồi cơm điện
nồi áp suất
nổi tam bành
nổi đình đám
nội tiết tố
nội địa hoá
nửa chừng xuân
ong bò vẽ
ong bắp cày
ong vò vẽ
phi chính phủ
phi hành gia
phi hành đoàn
phim con heo
phim hoạt hoạ
phim hoạt hình
phim thời sự
phim truyền hình
phim tài liệu
phim đèn chiếu
phiếm thần luận
phong cách học
pháo cao xạ
pháo phòng không
pháo thăng thiên
pháo tự hành
pháo đài bay
phát ngôn viên
phát thanh viên
phân hoá học
phân hữu cơ
phân loại học
phân tâm học
phân vi lượng
phân vi sinh
phân vô cơ
phéc mơ tuya
phép biện chứng
phép hài thanh
phép kéo theo
phép siêu hình
phép đối xứng
phòng khánh tiết
phòng thí nghiệm
phòng thường trực
phó giáo sư
phó lãnh sự
phó thường dân
phó tiến sĩ
phó văn phòng
phôi sinh học
phương diện quân
phương pháp luận
phường bát âm
phải cái tội
phản cách mạng
phản giáo dục
phản khoa học
phản thí dụ
phản tuyên truyền
phản tác dụng
phản ánh luận
phỏng sinh học
phối kết hợp
quan sát viên
quan trọng hoá
qui hoạch vùng
quy hoạch vùng
quyết tâm thư
quyết định luận
quyền công dân
quyền sở hữu
quyền tác giả
quá đi chứ
quân tình nguyện
quê một cục
quĩ tiết kiệm
quĩ tín dụng
quạt con cóc
quạt tai voi
quạt thông gió
quạt treo tường
quất hồng bì
quần lá toạ
quần xà lỏn
quần đông xuân
quẻ âm dương
quốc hữu hoá
quốc tế ca
quốc tế hoá
quốc tế ngữ
quốc vụ khanh
quỹ tiết kiệm
quỹ tín dụng
ra cái vẻ
ra cái điều
rau khủ khởi
roi cặc bò
ruộng bậc thang
rát ràn rạt
râu quai nón
rét nàng Bân
ròng rọc kép
rất chi là
rẻ như bèo
rối bòng bong
rừng phòng hộ
rừng đặc dụng
sao Bắc Cực
sao Bắc Đẩu
sao Diêm Vương
sao Hải Vương
sao Thiên Vương
sao đổi ngôi
sau đại học
sinh hoá học
sinh hoạt phí
sinh khoáng học
sinh lí học
sinh lý học
sinh thái học
sinh thực khí
sinh vật cảnh
sinh vật học
siêu hiện thực
siêu hình học
siêu liên kết
siêu lợi nhuận
siêu ngôn ngữ
siêu người mẫu
siêu tự nhiên
siêu vi khuẩn
siêu vi trùng
song tử diệp
suy dinh dưỡng
suất điện động
sách công cụ
sách giáo khoa
sán xơ mít
sáng bảnh mắt
sát sàn sạt
sân vận động
sâu cuốn lá
sâu cắn gié
sâu vòi voi
sâu đục thân
sít sìn sịt
sóng vô tuyến
sóng điện từ
súng cao su
súng liên thanh
súng ngựa trời
súng phun lửa
súng tự động
sư hổ mang
sư tử biển
sư đoàn trưởng
sạch nước cản
sạch sành sanh
sếu đầu đỏ
số báo danh
số bình quân
số bị chia
số bị nhân
số bị trừ
số chính phương
số hữu tỉ
số hữu tỷ
số nguyên tố
số siêu việt
số thập phân
số tương đối
số tự nhiên
số vô tỉ
số vô tỷ
số đại số
sốt xuất huyết
sổ hộ khẩu
sổ thiên tào
sờ lên gáy
sở chỉ huy
